Instance,N,M,Setup,Release,constructive_cmax,lahc_cmax,SA_cmax,RSA_cmax,Best_cmax,lahc_runtime,SA_runtime,RSA_runtime,lahc_timeToBest,SA_timeToBest,RSA_timeToBest,RPD LAHC,RPD_SA,RPD RSA
I_600_06_S_1-099_R_1.0_06.txt,600.0,6.0,1-099,1.0,29894.0,29890.0,29889.0,29889.0,29889.0,1800.67,1801.02,1801.9,217.65,668.7,259.56,0.0,0.0,0.0
I_400_06_S_1-049_R_1.0_06.txt,400.0,6.0,1-049,1.0,19985.0,19970.0,19970.0,19970.0,19970.0,1200.8,1200.66,1200.87,613.49,121.76,74.61,0.0,0.0,0.0
I_020_04_S_1-049_R_1.0_06.txt,20.0,4.0,1-049,1.0,913.0,902.0,902.0,902.0,902.0,16.91,3.28,3.73,0.01,0.0,0.01,0.0,0.0,0.0
I_800_04_S_1-099_R_1.8_09.txt,800.0,4.0,1-099,1.8,71918.0,71903.0,71903.0,71903.0,71903.0,1600.01,1600.35,1600.09,44.49,120.79,414.87,0.0,0.0,0.0
I_1000_06_S_1-099_R_0.2_01.txt,1000.0,6.0,1-099,0.2,10044.0,10026.0,10027.0,10028.0,10026.0,3005.1,3005.54,3005.94,800.08,787.26,47.43,0.0,0.0001,0.0002
I_600_06_S_1-049_R_0.2_01.txt,600.0,6.0,1-049,0.2,6022.0,5999.0,5999.0,5999.0,5999.0,1801.19,1801.94,1800.79,460.29,177.76,38.5,0.0,0.0,0.0
I_800_02_S_1-124_R_1.4_07.txt,800.0,2.0,1-124,1.4,56035.0,56022.0,56022.0,56022.0,56022.0,803.31,803.9,804.05,675.96,373.12,121.12,0.0,0.0,0.0
40on2Rp50Rs50Rr0.2_2_Rabadi.txt,40.0,2.0,50-100,0.2,2648.0,2469.0,2461.0,2459.0,2459.0,40.0,24.01,25.48,24.36,12.59,19.37,0.0041,0.0008,0.0
I_200_06_S_1-099_R_1.0_06.txt,200.0,6.0,1-099,1.0,9905.0,9896.0,9896.0,9896.0,9896.0,600.09,600.03,600.08,202.64,19.9,9.34,0.0,0.0,0.0
I_800_06_S_1-009_R_0.2_02.txt,800.0,6.0,1-009,0.2,8027.0,8025.0,8025.0,8025.0,8025.0,2401.62,2401.43,2401.75,3.37,0.0,6.21,0.0,0.0,0.0
120on8Rp50Rs50Rr1.8_15_Rabadi.txt,120.0,8.0,50-100,1.8,15900.0,15895.0,15895.0,15895.0,15895.0,480.02,267.33,228.32,6.0,4.49,0.79,0.0,0.0,0.0
120on4Rp50Rs50Rr0.6_4_Rabadi.txt,120.0,4.0,50-100,0.6,5361.0,5356.0,5356.0,5356.0,5356.0,240.01,163.83,181.27,3.05,1.04,2.05,0.0,0.0,0.0
I_020_06_S_1-099_R_0.2_02.txt,20.0,6.0,1-099,0.2,323.0,247.0,251.0,251.0,247.0,17.23,3.94,2.92,0.05,0.67,0.08,0.0,0.0162,0.0162
I_800_08_S_1-099_R_1.4_07.txt,800.0,8.0,1-099,1.4,55861.0,55861.0,55860.0,55860.0,55860.0,3202.1,3204.15,3205.17,2.24,906.16,429.52,0.0,0.0,0.0
I_1000_02_S_1-049_R_1.8_09.txt,1000.0,2.0,1-049,1.8,88176.0,88164.0,88164.0,88164.0,88164.0,1015.77,1013.75,1011.76,28.69,0.0,26.48,0.0,0.0,0.0
I_800_02_S_1-099_R_1.0_06.txt,800.0,2.0,1-099,1.0,40772.0,40763.0,40763.0,40755.0,40755.0,811.1,810.92,800.54,27.26,40.23,306.76,0.0002,0.0002,0.0
